run_id,grid,persona,condition,rep,wtp_ref,wtp_adj,estimated_wtp,status,error,reasoning,extraction_anchors_json,raw_response,auxiliary_raw_response
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,2,11714,12906,300,success,,三位受访者均极度价格敏感，普遍对超过几百元的非必需支出犹豫不决，且对科技产品有抵触，仅接受极低成本的简单替代方案。,,"{""estimated_wtp"": 300, ""reasoning"": ""三位受访者均极度价格敏感，普遍对超过几百元的非必需支出犹豫不决，且对科技产品有抵触，仅接受极低成本的简单替代方案。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,1,11714,12906,500,success,,三位受访者均表现出极强成本敏感和科技抵触，核心需求是开箱即用、稳定不折腾的被动陪伴，参考其对几百元闲置设备的容忍上限，支付意愿远低于高端产品，约500元以内。,,"{""estimated_wtp"": 500, ""reasoning"": ""三位受访者均表现出极强成本敏感和科技抵触，核心需求是开箱即用、稳定不折腾的被动陪伴，参考其对几百元闲置设备的容忍上限，支付意愿远低于高端产品，约500元以内。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,6,11714,12906,500,success,,三位受访者均极度成本敏感，反复强调‘够用就行’、‘几百块’、‘超过这个数就得犹豫’，且对科技产品有强烈抵触，因此支付意愿上限约500元。,,"{""estimated_wtp"": 500, ""reasoning"": ""三位受访者均极度成本敏感，反复强调‘够用就行’、‘几百块’、‘超过这个数就得犹豫’，且对科技产品有强烈抵触，因此支付意愿上限约500元。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,3,11714,12906,300,success,,三位受访者均极度价格敏感，核心逻辑是‘够好且便宜’，参考P2提及‘几百块的东西不折腾了’及P3‘够用就行’，同时参考原模板高端定位需大幅下压至成本可接受的低价区间。,,"{""estimated_wtp"": 300, ""reasoning"": ""三位受访者均极度价格敏感，核心逻辑是‘够好且便宜’，参考P2提及‘几百块的东西不折腾了’及P3‘够用就行’，同时参考原模板高端定位需大幅下压至成本可接受的低价区间。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,4,11714,12906,300,success,,三位受访者均极度价格敏感，核心需求仅为基础陪伴与稳定可靠，且反复强调‘够用就行’、‘几百块’的心理价位，因此支付意愿远低于原高端模板，取300元作为可接受的低价起点。,,"{""estimated_wtp"": 300, ""reasoning"": ""三位受访者均极度价格敏感，核心需求仅为基础陪伴与稳定可靠，且反复强调‘够用就行’、‘几百块’的心理价位，因此支付意愿远低于原高端模板，取300元作为可接受的低价起点。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,5,11714,12906,300,success,,三位受访者均极度价格敏感，以'够用就行'为核心，且对科技产品有强烈抵触，支付意愿远低于原高端模板，300元接近其可接受的'试水'价位。,,"{""estimated_wtp"": 300, ""reasoning"": ""三位受访者均极度价格敏感，以'够用就行'为核心，且对科技产品有强烈抵触，支付意愿远低于原高端模板，300元接近其可接受的'试水'价位。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,7,11714,12906,500,success,,三位受访者均极度价格敏感，认为超过几百元的东西需要反复掂量，且对功能要求极低，仅需稳定可靠、开箱即用，因此支付意愿上限约为500元。,,"{""estimated_wtp"": 500, ""reasoning"": ""三位受访者均极度价格敏感，认为超过几百元的东西需要反复掂量，且对功能要求极低，仅需稳定可靠、开箱即用，因此支付意愿上限约为500元。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,8,11714,12906,500,success,,三位受访者均表现出极强成本敏感、科技抵触与‘够用就好’心态，支付意愿远低于原高端参考区间，仅愿为‘开箱即用、不联网、稳定可靠’的替代方案支付数百元。,,"{""estimated_wtp"": 500, ""reasoning"": ""三位受访者均表现出极强成本敏感、科技抵触与‘够用就好’心态，支付意愿远低于原高端参考区间，仅愿为‘开箱即用、不联网、稳定可靠’的替代方案支付数百元。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,9,11714,12906,500,success,,三位受访者均表现出极强成本敏感和科技抵触，支付意愿上限约500元，超过即触发替代思维或直接放弃。,,"{""estimated_wtp"": 500, ""reasoning"": ""三位受访者均表现出极强成本敏感和科技抵触，支付意愿上限约500元，超过即触发替代思维或直接放弃。""}",
belief_bench_v1_2026-07-13,ToC_Cost_Elder,二代接班人,C0_leaked,10,11714,12906,300,success,,三位受访者均表现出极强成本敏感性和科技抵触，支付意愿接近低端家电，参考示例语境取区间下限。,,"{""estimated_wtp"": 300, ""reasoning"": ""三位受访者均表现出极强成本敏感性和科技抵触，支付意愿接近低端家电，参考示例语境取区间下限。""}",
